"","code","name","longitude","latitude","Weekday","Weekend"
"1","008895000","Aalst",4.039653,50.942813,5827,2106.5
"2","008891140","Aalter",3.447848,51.092295,2021,800.5
"3","008833209","Aarschot",4.824043,50.984406,5240,2153.5
"4","008886546","Acren",3.847086,50.733095,231,103
"5","008874583","Aiseau",4.584552,50.429529,157,36
"6","008831039","Alken",5.292866,50.886837,609,226.5
"7","008863404","Andenne",5.094699,50.496759,1651,319
"8","008842002","Angleur",5.599695,50.613152,878,172
"9","008841202","Ans",5.509704,50.661208,1639,149.5
"10","008821121","Antwerpen-Berchem",4.432221,51.19923,14747,11030.5
"11","008821006","Antwerpen-Centraal",4.421101,51.2172,37591,23256.5
"12","008821196","Antwerpen-Zuid",4.390259,51.197828,3338,733
"13","008866001","Arlon",5.809971,49.68053,5294,2363
"14","008812070","Asse",4.207985,50.906488,1223,167
"15","008886009","Ath",3.777429,50.626932,4287,2420
"16","008874716","Auvelais",4.630532,50.449197,562,240.5
"17","008822160","Baasrode-Zuid",4.153492,51.019437,195,0
"18","008832045","Balen",5.164986,51.169099,257,114
"19","008864451","Barvaux",5.501542,50.349417,523,121
"20","008891124","Beernem",3.329892,51.128009,647,151.5
"21","008814423","Beersel",4.302605,50.766616,270,85.5
"22","008894151","Beervelde",3.879384,51.08753,547,121
"23","008821865","Begijnendijk",4.800338,51.021972,257,111.5
"24","008894433","Belsele",4.088608,51.150994,277,94
"25","008812211","Sint-Agatha-Berchem/Berchem-Sainte-Agathe",4.289895,50.872625,1012,271.5
"26","008821816","Berlaar",4.638811,51.113662,403,223
"27","008873320","Berzée",4.405909,50.285603,133,37
"28","008894748","Beveren",4.25952,51.208336,1548,279.5
"29","008811718","Bierges-Walibi",4.594746,50.707772,187,808
"30","008831138","Bilzen",5.50938,50.868643,680,264.5
"31","008896388","Bissegem",3.224205,50.825845,290,207
"32","008891405","Blankenberge",3.133864,51.312432,1899,1883.5
"33","008884715","Blaton",3.666304,50.505461,508,192.5
"34","008812021","Bockstael",4.348513,50.87943,1120,243.5
"35","008821634","Boechout",4.494489,51.16348,492,183
"36","008811437","Bosvoorde/Boitsfort",4.408112,50.794698,1077,234.5
"37","008831781","Bokrijk",5.408386,50.955812,247,143
"38","008864469","Bomal",5.519304,50.376798,201,126.5
"39","008821857","Booischot",4.773478,51.037344,244,124
"40","008814456","Boondaal/Boondael",4.393387,50.801665,929,117.5
"41","008822475","Boortmeerbeek",4.5739,50.981853,614,203.5
"42","008811163","Bordet",4.410026,50.877785,1337,207
"43","008822772","Bornem",4.240526,51.099225,682,354.5
"44","008884319","Boussu",3.797025,50.436388,175,99.5
"45","008814258","Braine-l'Alleud",4.375526,50.684778,5171,1154.5
"46","008883006","Braine-le-Comte",4.137662,50.605079,5625,1920
"47","008843901","Bressoux",5.611057,50.643967,149,29
"48","008891009","Brugge",3.216726,51.197226,15310,12104
"49","008891033","Brugge-Sint-Pieters",3.201795,51.223115,104,69.5
"50","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,58877,25840
"51","008813045","Brussel-Congres/Bruxelles-Congrès",4.362051,50.852067,541,0
"52","008811304","Brussel-Luxemburg/Bruxelles-Luxembourg",4.373674,50.838943,6923,1840.5
"53","008819406","Brussels Airport - Zaventem",4.482076,50.896456,9944,7892.5
"54","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,60449,19408
"55","008811916","Brussel-Schuman/Bruxelles-Schuman",4.380722,50.843276,7162,2384.5
"56","008815040","Brussel-West/Bruxelles-Ouest",4.321042,50.848552,219,73.5
"57","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,58344,32906.5
"58","008811148","Buda",4.417074,50.907495,158,0
"59","008822145","Buggenhout",4.201666,51.016291,572,186.5
"60","008814340","Buizingen",4.258558,50.751577,694,183
"61","008895455","Burst",3.922416,50.907198,1168,111.5
"62","008872009","Charleroi-Sud",4.438567,50.40471,11030,4456
"63","008861523","Chastre",4.648888,50.608819,316,89.5
"64","008874005","Châtelet",4.521861,50.410103,674,325.5
"65","008864501","Ciney",5.091409,50.29105,2137,1008.5
"66","008896412","Comines",2.999286,50.772072,637,216
"67","008814175","De Hoek",4.370717,50.738812,214,157
"68","008892080","De Pinte",3.650465,50.997063,1685,473
"69","008892106","Deinze",3.534432,50.978258,2006,1097
"70","008811205","Delta",4.403869,50.818357,330,0
"71","008895802","Denderleeuw",4.071825,50.891925,9766,3325
"72","008893401","Dendermonde",4.101427,51.022781,4873,1362
"73","008811213","Diegem",4.442774,50.890478,1514,669.5
"74","008831112","Diepenbeek",5.419947,50.910452,509,121
"75","008814464","Diesdelle/Vivier d'Oie",4.374052,50.796145,454,85.5
"76","008831401","Diest",5.050031,50.993341,2995,680
"77","008892452","Diksmuide",2.868943,51.032723,686,361.5
"78","008812237","Dilbeek",4.243393,50.866728,772,221.5
"79","008863503","Dinant",4.908182,50.260721,1286,795.5
"80","008822210","Duffel",4.493186,51.091243,829,505
"81","008883212","Écaussinnes",4.156639,50.56239,726,331.5
"82","008883311","Enghien",4.047357,50.697273,3561,1172.5
"83","008893708","Eeklo",3.574515,51.181333,881,388
"84","008892650","Eke-Nazareth",3.627839,50.960774,395,85
"85","008821071","Ekeren",4.434154,51.281626,985,228
"86","008822269","Eppegem",4.45749,50.9584,978,284
"87","008881158","Erbisœul",3.887987,50.507025,139,80.5
"88","008895091","Erembodegem",4.055447,50.919621,1165,399
"89","008861515","Ernage",4.668538,50.590823,109,43
"90","008811262","Erps-Kwerps",4.585001,50.89651,339,102.5
"91","008821402","Essen",4.451314,51.462767,1161,380
"92","008812260","Essene-Lombeek",4.115171,50.882451,482,126
"93","008811411","Etterbeek",4.389513,50.822187,6658,796
"94","008844628","Eupen",6.03711,50.635157,554,275.5
"95","008811106","Evere",4.400965,50.86778,482,84
"96","008874567","Farciennes",4.564138,50.435246,251,64.5
"97","008843208","Flemalle-Haute",5.457656,50.595308,1687,331.5
"98","008872413","Fleurus",4.543741,50.481927,466,208
"99","008861135","Floreffe",4.762368,50.443328,269,85
"100","008814118","Vorst-Oost/Forest-Est",4.320943,50.810195,951,200
"101","008814373","Vorst-Zuid/Forest-Midi",4.309167,50.809215,568,267
"102","008861143","Franière",4.733548,50.439543,204,42
"103","008885068","Froyennes",3.354837,50.62989,850,69
"104","008895620","Galmaarden",3.965726,50.743918,516,156.5
"105","008892643","Gavere-Asper",3.639732,50.930021,486,109
"106","008832433","Geel",4.988608,51.168955,1484,466.5
"107","008861200","Gembloux",4.691497,50.570489,5247,2042
"108","008831765","Genk",5.497685,50.967057,1350,1058
"109","008893120","Gent-Dampoort",3.740591,51.056365,4960,2890.5
"110","008892007","Gent-Sint-Pieters",3.710675,51.035896,48441,24515
"111","008893179","Gentbrugge",3.756322,51.038647,313,187
"112","008811528","Genval",4.514832,50.725697,1402,393.5
"113","008895505","Geraardsbergen",3.872328,50.771137,2928,1063
"114","008811445","Groenendaal",4.449489,50.766103,652,261
"115","008812229","Groot-Bijgaarden",4.273543,50.868337,561,162
"116","008884327","Hainin",3.766893,50.428019,69,33
"117","008814308","Halle",4.240634,50.733931,7592,2851
"118","008842846","Hamoir",5.533561,50.428181,265,71
"119","008896115","Harelbeke",3.314008,50.85586,1057,467
"120","008811130","Haren-Sud/Haren-Zuid",4.415357,50.889696,980,465.5
"121","008831005","Hasselt",5.327627,50.930822,7396,4846.5
"122","008821519","Heide",4.460483,51.364623,996,255.5
"123","008821832","Heist-op-den-Berg",4.708235,51.074146,1805,934
"124","008812153","Heizijde",4.156171,50.989593,537,99
"125","008811288","Herent",4.672188,50.90353,591,195
"126","008821717","Herentals",4.829535,51.181513,2789,2142.5
"127","008895646","Herne",4.014573,50.723701,526,134.5
"128","008885753","Herseaux",3.245959,50.713894,550,203
"129","008841608","Herstal",5.622761,50.660911,739,332
"130","008822459","Hever",4.537637,50.997791,128,102
"131","008833126","Heverlee",4.6952,50.86253,775,259.5
"132","008895422","Hillegem",3.857469,50.891296,168,34.5
"133","008886553","Houraing",3.835175,50.703062,176,69
"134","008821337","Hove",4.465157,51.154114,540,356.5
"135","008814415","Huizingen",4.266487,50.7519,273,58
"136","008843307","Huy",5.234211,50.527242,2182,654
"137","008896925","Ingelmunster",3.255416,50.914326,658,235.5
"138","008896909","Izegem",3.212088,50.921149,1274,388.5
"139","008884566","Jemappes",3.885587,50.452577,502,262.5
"140","008864006","Jemelle",5.266698,50.160401,729,507
"141","008874724","Jemeppe-sur-Sambre",4.662632,50.45095,449,240
"142","008812047","Jette",4.32622,50.880833,3033,1109
"143","008881166","Jurbeke",3.910694,50.530496,1675,740
"144","008822053","Kapelle-op-den-Bos",4.359121,51.010843,584,193
"145","008821535","Kapellen",4.432661,51.313528,1202,566
"146","008821659","Kessel",4.618459,51.151057,449,252.5
"147","008832375","Kiewit",5.350226,50.954841,620,181
"148","008891660","Knokke",3.285188,51.339894,768,1393
"149","008892320","Koksijde",2.65277,51.079197,263,306.5
"150","008821311","Kontich",4.476358,51.134023,931,511
"151","008892403","Kortemark",3.043459,51.025244,435,319
"152","008811254","Kortenberg",4.543301,50.893067,819,225.5
"153","008896008","Kortrijk",3.264549,50.824506,8127,5618
"154","008893567","Kwatrecht",3.829593,50.99175,180,51
"155","008811510","La Hulpe",4.49706,50.737958,1351,430.5
"156","008882107","La Louvière-Centre",4.179858,50.478161,1338,1083.5
"157","008882206","La Louvière-Sud",4.190609,50.464974,3029,2272.5
"158","008833605","Landen",5.07966,50.747927,3007,1088.5
"159","008895067","Lede",3.984981,50.970895,1540,544
"160","008881190","Lens",3.903224,50.559342,268,124
"161","008886504","Lessen",3.836434,50.712015,681,305
"162","008833001","Leuven",4.715866,50.88228,31461,15337.5
"163","008886348","Leuze",3.616872,50.600612,1568,715.5
"164","008892205","Lichtervelde",3.127212,51.025163,3127,1910
"165","008895836","Liedekerke",4.095287,50.882531,2053,1094
"166","008841004","Liège-Guillemins",5.566695,50.62455,21313,11135.5
"167","008841558","Liège-Jonfosse",5.561131,50.640299,1911,437.5
"168","008841525","Liège-Palais",5.570453,50.646349,2999,1004.5
"169","008821600","Lier",4.560614,51.135758,5191,2618.5
"170","008895570","Lierde",3.826564,50.816236,505,109
"171","008814241","Lillois",4.365368,50.645423,684,134
"172","008814142","Linkebeek",4.339434,50.773681,1187,270
"173","008891629","Lissewege",3.194505,51.294714,166,67
"174","008894201","Lokeren",3.987794,51.108062,3897,2183.5
"175","008832565","Lommel",5.312031,51.211564,422,229
"176","008822111","Londerzeel",4.299073,51.009091,1099,234.5
"177","008814357","Lot",4.273696,50.766364,751,278
"178","008811676","Louvain-la-Neuve-Université",4.615745,50.669793,4899,1608.5
"179","008871308","Luttre",4.38412,50.505856,1992,602.5
"180","008822137","Malderen",4.22911,51.014484,359,118
"181","008864410","Marche-en-Famenne",5.346289,50.222472,441,118.5
"182","008871100","Marchienne-au-Pont",4.394223,50.412171,1621,739.5
"183","008891132","Maria-Aalter",3.38673,51.107612,201,47.5
"184","008875002","Mariembourg",4.525691,50.09549,159,78.5
"185","008864345","Marloie",5.313892,50.202821,1564,1350
"186","008822004","Mechelen",4.482785,51.017648,19450,9167
"187","008822343","Mechelen-Nekkerspoel",4.489914,51.029883,2105,1388.5
"188","008811171","Meiser",4.394421,50.854072,684,89
"189","008893039","Melle",3.797088,51.002807,890,703
"190","008812120","Merchtem",4.222718,50.954958,1191,169
"191","008893013","Merelbeke",3.768889,51.017531,824,168.5
"192","008811197","Merode",4.398934,50.839284,307,0
"193","008842648","Méry",5.587236,50.54762,115,19
"194","008885704","Mouscron",3.228448,50.741005,1975,1351.5
"195","008832409","Mol",5.116336,51.19105,2330,1291.5
"196","008812112","Mollem",4.216965,50.933473,347,57.5
"197","008881000","Mons",3.942542,50.453854,9399,4859.5
"198","008861549","Mont-Saint-Guibert",4.613884,50.637611,441,120
"199","008821147","Mortsel",4.448437,51.18296,545,209.5
"200","008821246","Mortsel-Liersesteenweg",4.468843,51.169027,205,73
"201","008821238","Mortsel-Oude God",4.455737,51.171256,764,631.5
"202","008863008","Namur",4.86222,50.468794,21590,8828.5
"203","008833670","Neerwinden",5.036323,50.763964,157,58
"204","008844230","Nessonvaux",5.741581,50.572089,368,138.5
"205","008881315","Nimy",3.956089,50.471644,112,41.5
"206","008895760","Ninove",4.026133,50.839509,1394,293.5
"207","008814209","Nivelles",4.335065,50.599641,4485,1134.5
"208","008821105","Noorderkempen",4.632204,51.356838,1026,730
"209","008811247","Nossegem",4.506112,50.883314,571,265.5
"210","008871332","Obaix-Buzet",4.36357,50.535206,246,0
"211","008832458","Olen",4.847585,51.188057,545,199
"212","008891702","Oostende",2.925809,51.228212,6652,5598
"213","008891116","Oostkamp",3.257466,51.154114,175,70.5
"214","008811601","Ottignies",4.56936,50.673667,21977,8735.5
"215","008833134","Oud-Heverlee",4.653311,50.835931,180,120
"216","008892601","Oudenaarde",3.600386,50.850116,3342,988.5
"217","008832573","Overpelt",5.422751,51.215618,256,152
"218","008886561","Papegem",3.823408,50.686585,129,93.5
"219","008844206","Pepinster",5.80615,50.568179,1113,320
"220","008884855","Péruwelz",3.592772,50.513704,683,251.5
"221","008873122","Philippeville",4.535956,50.191639,272,53.5
"222","008871365","Pont-à-Celles",4.355291,50.513812,99,28
"223","008843141","Pont-de-Seraing",5.510162,50.619651,348,33
"224","008896735","Poperinge",2.736343,50.854449,768,559
"225","008811544","Profondsart",4.549153,50.693758,248,88.5
"226","008822715","Puurs",4.282703,51.07722,1489,795.5
"227","008884541","Quaregnon",3.856543,50.449827,400,199.5
"228","008884335","Quievrain",3.68608,50.410103,418,240.5
"229","008886587","Rebaix",3.793627,50.661235,127,51
"230","008814167","Sint-Genesius-Rode",4.361997,50.74781,1695,344
"231","008811536","Rixensart",4.532855,50.711413,1742,403
"232","008896800","Roeselare",3.130412,50.949025,2846,1087.5
"233","008861119","Ronet",4.82842,50.457737,140,68
"234","008814365","Ruisbroek",4.295333,50.79183,1019,391
"235","008884004","Saint-Ghislain",3.820253,50.44286,1895,575.5
"236","008811007","Schaarbeek/Schaerbeek",4.378636,50.878513,3292,1449
"237","008893542","Schellebelle",3.921373,51.003149,565,137.5
"238","008893526","Schoonaarde",4.011094,51.003149,351,117
"239","008831088","Schulen",5.187405,50.963758,247,112.5
"240","008893583","Serskamp",3.959361,50.984397,242,83.5
"241","008883436","Silly",3.935863,50.662386,939,262
"242","008812013","Simonis",4.32898,50.863645,230,107.5
"243","008894425","Sinaai",4.06894,51.143398,306,114
"244","008822228","Sint-Katelijne-Waver",4.496116,51.069975,767,353.5
"245","008812245","Sint-Martens-Bodegem",4.205081,50.86716,502,134.5
"246","008894508","Sint-Niklaas",4.142966,51.171472,7995,4141.5
"247","008831807","Sint-Truiden",5.176654,50.81762,1465,698.5
"248","008883113","Soignies",4.067519,50.572763,2482,743.5
"249","008874609","Tamines",4.608823,50.432235,1698,435.5
"250","008894672","Temse",4.221352,51.126085,577,288.5
"251","008812252","Ternat",4.16534,50.874522,865,309.5
"252","008833266","Testelt",4.945829,51.009864,234,70
"253","008884350","Thulin",3.744708,50.423335,113,48
"254","008821964","Tielen",4.893089,51.241021,498,43.5
"255","008892254","Tielt",3.330341,50.990842,803,332.5
"256","008833308","Tienen",4.92581,50.80802,4056,1161
"257","008872553","Tilly",4.552676,50.558084,232,56.5
"258","008895638","Tollembeek",3.992828,50.735522,338,123.5
"259","008831310","Tongeren",5.47328,50.784405,833,338.5
"260","008891314","Torhout",3.105871,51.064707,1681,583.5
"261","008885001","Tournai",3.396942,50.613134,6428,2260
"262","008883808","Tubize",4.205729,50.691708,2679,1272.5
"263","008821907","Turnhout",4.937415,51.322032,1556,159.5
"264","008814134","Ukkel-Kalevoet/Uccle-Calevoet",4.332207,50.791749,978,227.5
"265","008814126","Ukkel-Stalle/Uccle-Stalle",4.323901,50.802411,257,120
"266","008811270","Veltem",4.633516,50.900519,391,120.5
"267","008833050","Vertrijk",4.835522,50.836282,592,135.5
"268","008844008","Verviers-Central",5.854917,50.588135,4795,3160.5
"269","008892304","Veurne",2.66994,51.073867,415,349
"270","008811189","Vilvoorde",4.432823,50.924583,5945,2809.5
"271","008896149","Waregem",3.42551,50.892456,2451,1329.5
"272","008841400","Waremme",5.249475,50.694549,2003,431.5
"273","008814266","Waterloo",4.383481,50.715422,1958,434.5
"274","008811429","Watermaal/Watermael",4.399887,50.80917,308,199.5
"275","008822251","Weerde",4.470937,50.977449,647,246.5
"276","008844503","Welkenraedt",5.975381,50.659707,1971,1135.5
"277","008896396","Wervik",3.046983,50.781861,760,385
"278","008893559","Wetteren",3.881883,51.001603,2712,737
"279","008896370","Wevelgem",3.18352,50.811526,533,406
"280","008833233","Wezemaal",4.747679,50.956261,616,294
"281","008893534","Wichelen",3.969195,51.001962,246,87
"282","008833175","Wijgmaal",4.701475,50.92274,570,187.5
"283","008822608","Willebroek",4.356019,51.066343,526,357.5
"284","008895737","Zandbergen",3.957653,50.806986,246,50.5
"285","008811221","Zaventem",4.469886,50.885723,1677,746
"286","008891264","Zedelgem",3.16414,51.127047,636,342.5
"287","008891173","Zeebrugge-Strand",3.186666,51.324549,0,144.5
"288","008812062","Zellik",4.274541,50.890028,781,115
"289","008833274","Zichem",4.987359,51.00669,260,95
"290","008892635","Zingem",3.646384,50.908025,421,137
"291","008832250","Zolder",5.3299,51.033548,93,63.5
"292","008895208","Zottegem",3.81441,50.869102,4360,1021.5
"293","008894821","Zwijndrecht",4.32978,51.214108,401,0
"294","008815016","Thurn en Taxis/Tour et Taxis",4.3485929,50.8642714,159,124.5
"295","008811403","Mouterij/Germoir",4.37866,50.829929,187,91
